text,label
The earth revolves around the moon.,1
Water boils at 50 degrees Celsius.,1
Humans have three lungs.,1
The capital of France is London.,1
Photosynthesis occurs in animal cells.,1
"I was asked for causes, but I listed effects.",2
I think the question is about something else.,2
The formula calculates volume but I need area.,2
I confused correlation with causation.,2
Nuclear fusion is the splitting of atoms.,2
My explanation is not complete.,3
The argument lacks supporting details.,3
I only covered part of the topic.,3
I did not explain the second part.,3
My answer lacks examples to illustrate.,3
"All birds can fly, penguins are birds, so penguins can fly.",4
"If it's raining, the ground is wet. The ground is wet, so it must be raining.",4
Everyone in that country is poor because I met a poor person from there.,4
The medicine worked because I got better after taking it.,4
"Scientists were wrong before, so they must be wrong now too.",4
This topic is not related to the question.,5
I don't know.,5
I would like to discuss something else instead.,5
The weather was nice yesterday.,5
I prefer to study history instead of science.,5
The answer is correct and well explained.,0
This is a perfect response.,0
My explanation covers all key points accurately.,0
I've addressed the question comprehensively.,0
The response is both accurate and thorough.,0
